index,name
0,blueberries
1,granulated sugar
2,vanilla yogurt
3,lemon juice
4,sugar
5,lemons rind of
6,fresh water
7,fresh lemon juice
8,ice cube
9,club soda
10,margarine
11,egg
12,egg whites
13,flour
14,salt
15,buttermilk
16,graham cracker crumbs
17,gingersnap crumbs
18,fresh mushrooms
19,butter
20,boneless skinless chicken breast halves
21,marsala
22,chicken broth
23,mozzarella cheese
24,parmesan cheese
25,green onion
26,beef eye round
27,vegetable oil
28,dried thyme leaves
29,pepper
30,ready-to-serve beef broth
31,burgundy wine
32,garlic
33,baby carrots
34,frozen whole pearl onion
35,cornstarch
36,frozen sugar snap peas
37,french baguette
38,garlic powder
39,ricotta cheese
40,tomatoes
41,olive oil
42,fresh basil leaves
43,fresh lemon juice
44,black beans
45,fresh corn kernels
46,plum tomato
47,scallion
48,fresh parsley leaves
49,cayenne
50,boston lettuce leaves
51,brewed coffee
52,ketchup
53,red wine vinegar
54,dark brown sugar
55,onion
56,garlic cloves
57,dark molasses
58,hot dry mustard
59,worcestershire sauce
60,cumin
61,chili powder
62,butter
63,egg yolk
64,milk
65,water
66,shrimp
67,parsley
68,lemon
69,tabasco sauce
70,bell peppers
71,brown rice
72,unsalted butter
73,oregano
74,marjoram
75,summer savory
76,celery
77,fresh snow pea
78,broccoli floret
79,fresh gingerroot
80,lemons
81,coconut
82,oranges
83,seedless grapes
84,honey
85,walnuts
86,apple
87,blue cheese
88,cream cheese
89,half-and-half
90,mushrooms
91,pecan halves
92,sugar
93,bread
94,canned cherry pie filling
95,powdered sugar
96,sugar cookies
97,eggs
98,sour cream
99,vanilla
100,lemon rind of
101,blueberries
102,barbecued chicken
103,unsweetened pineapple slices
104,spring onions
105,curry powder
106,five-spice powder
107,garlic clove
108,fresh ginger
109,mayonnaise
110,coconut milk
111,dole banana
112,amaretto liqueur
113,vanilla extract
114,all-purpose flour
115,unsweetened cocoa powder
116,baking soda
117,dole almond
118,chicken
119,cajun-louisiana seasoning blend
120,lemon pepper
121,bell pepper
122,carrot
123,oil
124,baking powder
125,cinnamon
126,instant vanilla pudding
127,nuts
128,dry breadcrumbs
129,parsley flakes
130,ground beef
131,raw potatoes
132,green pepper
133,canned tomatoes
134,unsweetened dutch cocoa
135,boiling water
136,cake flour
137,chicken breasts
138,portabella mushroom
139,onion white
140,fresh garlic
141,fresh basil
142,dates
143,cola drink
144,brown sugar
145,lemon rind
146,pecans
147,flour
148,cocoa
149,coca-cola
150,miniature marshmallows
151,confectioners sugar
152,cream
153,bock beer
154,round steaks
155,cracked pepper
156,all-purpose flour
157,heavy cream
158,currants
159,chicken stock
160,lean pork
161,garlic and red chile paste
162,soy sauce
163,white pepper
164,egg substitute
165,bamboo shoot
166,water chestnut
167,shiitake mushroom
168,straw mushroom
169,cake tofu
170,white vinegar
171,sesame oil
172,dried black fungus
173,canola oil
174,chipotle pepper
175,arbol chile
176,cracked black pepper
177,orange juice
178,barbecue sauce
179,hot sauce
180,kosher salt
181,pork loin
182,halibut steaks
183,fresh parsley
184,orange rind
185,black pepper
186,frozen concentrated orange juice
187,plums
188,gingerroot
189,rice vinegar
190,coriander
191,cayenne pepper
192,clove
193,hi-c hula punch
194,vanilla ice cream
195,sprite
196,shortening
197,baking cocoa
198,zucchini
199,tapioca
200,unsweetened chocolate squares
201,instant coffee
202,whipped topping
203,pie shell
204,egg yolks
205,cream of tartar
206,onions
207,ginger
208,chicken stock
209,chicken giblets
210,paprika
211,bay leaf
212,salt & pepper
213,piri-piri
214,white wine
215,vegetable oil
216,boneless skinless chicken breasts
217,sweet red pepper
218,cooked brown rice
219,light soy sauce
220,rice wine vinegar
221,frozen peas
222,white flour
223,fat
224,egg whites
225,crabmeat
226,dry mustard
227,garlic salt
228,cheddar cheese
229,baking potatoes
230,bacon
231,green onions
232,lamb chops
233,mint
234,frozen spinach
235,part-skim ricotta cheese
236,feta cheese
237,dried dill weed
238,large shrimp
239,phyllo dough
240,phyllo pastry
241,ritz crackers
242,whipping cream
243,german chocolate
244,dried black beans
245,turkey polish kielbasa
246,coconut milk
247,palm sugar
248,cornstarch
249,vegetable stock
250,dry sherry
251,broccoli
252,medium firm tofu
253,season salt
254,celery seed
255,red pepper
256,tarragon
257,egg yolks
258,whole milk
259,nutmeg
260,poundcake
261,cream sherry
262,raspberry jam
263,frozen raspberries
264,raspberries
265,strawberries
266,dark sweet red cherries
267,natural red grape juice
268,lemon zest
269,dry red wine
270,vanilla sugar
271,head of garlic
272,vegetable oil cooking spray
273,sweet potatoes
274,minced ginger
275,oranges
276,lime
277,chinese cabbage
278,bean sprouts
279,red onion
280,orange
281,grilled chicken breasts
282,fresh cilantro
283,salt & freshly ground black pepper
284,acorn squash
285,mushroom
286,muenster cheese
287,olive oil
288,italian seasoning
289,skinless chicken breast half
290,flour tortilla
291,romaine lettuce
292,great northern bean
293,fat-free chicken broth
294,salt and pepper
295,green chilies
296,monterey jack cheese
297,onion
298,skim milk
299,low-fat cheddar cheese
300,fresh spinach
301,yellow squash
302,wine vinegar
303,cider vinegar
304,salad potatoes
305,beef
306,veal
307,pork
308,breadcrumbs
309,dry white wine
310,bananas
311,fresh orange juice
312,apple
313,oatmeal
314,cooking apples
315,evaporated skim milk
316,fat free cream cheese
317,scallions
318,fettuccine
319,yams
320,condensed milk
321,graham cracker pie crust
322,dark corn syrup
323,maple flavoring
324,cornmeal
325,pie crust
326,fresh sweet potatoes
327,allspice
328,whole kernel corn
329,red bell pepper
330,ripe olives
331,pickled jalapeno peppers
332,pickled jalapeno pepper juice
333,cider
334,unbaked pie shells
335,molasses
336,powdered ginger
337,orange zest
338,eggs
339,onions
340,tomato paste
341,eggplants
342,kefalotyri
343,golden delicious apples
344,cinnamon sugar
345,cinnamon-raisin bread
346,vidalia onion
347,lowfat mozzarella cheese
348,basil
349,pie shell
350,water
351,green cabbage
352,green beans
353,potatoes
354,english cucumber
355,peanut sauce
356,cumin seed
357,turmeric
358,cauliflower florets
359,dried lentils
360,fresh lime juice
361,cooked basmati rice
362,margarine
363,cool whip
364,instant chocolate pudding mix
365,chocolate
366,whole wheat flour
367,red raspberries
368,sponge cake
369,toasted sliced almonds
370,frozen strawberries
371,mixed mushrooms
372,dry vermouth
373,chicken
374,chile
375,bamboo skewer
376,peanut butter
377,chili sauce
378,spaghetti
379,colby
380,cream of mushroom soup
381,ice cubes
382,coffee
383,syrup
384,instant coffee
385,nonfat dry milk powder
386,lamb
387,hamburger
388,quick oats
389,black greek olive
390,baking potatoes
391,cooking spray
392,baking apples
393,golden raisin
394,soy margarine
395,granny smith apples
396,frozen apple juice concentrate
397,greens
398,celery
399,hot dogs
400,rubbed sage
401,cornbread-muffin mix
402,sharp cheddar cheese
403,bananas
404,lemon juice
405,boneless skinless chicken
406,skim milk yogurt
407,light mayonnaise
408,of fresh mint
409,tuna
410,avocado
411,hardboiled egg
412,cheese slices
413,whole wheat bread
414,yeast
415,fish fillets
416,egg white
417,dill weed
418,onion juice
419,fresh dill
420,lemon wedge
421,sweet red peppers
422,yellow cornmeal
423,wooden sticks
424,self-rising cornmeal
425,garlic
426,button mushrooms
427,red wine
428,green peppercorn
429,lemon zest of
430,fresh rosemary leaf
431,canned plum tomatoes
432,balsamic vinegar
433,dried fruit
434,slivered almonds
435,fresh cilantro leaves
436,tomato soup
437,vinegar
438,tomatoes
439,evaporated milk
440,stewed tomatoes
441,corn tortillas
442,colby-monterey jack cheese
443,tomato sauce
444,beef broth
445,ground cumin
446,yellow cornmeal
447,steak
448,veal kidneys
449,rosemary
450,carrots
451,oxtails
452,plum jam
453,beef stock
454,caramel coloring
455,french baguette
456,swiss cheese
457,green beans
458,wax beans
459,lima beans
460,kidney beans
461,garbanzo beans
462,lime juice
463,lemon zest of
464,wheat flour
465,barley flour
466,soybean flour
467,lentils
468,millet flour
469,rye flour
470,yeast
471,warm water
472,sausage
473,beef
474,cream-style cottage cheese
475,refrigerated crescent dinner rolls
476,sesame seeds
477,oil
478,apples
479,dry wasabi
480,cucumbers
481,salt and black pepper
482,black sesame seeds
483,milk
484,dried yeast
485,white flour
486,sage
487,coarse black pepper
488,hard apple cider
489,pork chops
490,instant rice
491,baby green peas
492,cucumber
493,carrots
494,mild curry powder
495,garlic cloves
496,fresh thyme
497,fresh marjoram
498,italian bread
499,wild rice
500,fryer chickens
501,cooking oil
502,instant chicken bouillon granules
503,cream of mushroom soup
504,tuna
505,pimientos
506,long-grain rice
507,sweet peppers
508,sunflower seeds
509,dried oregano leaves
510,jalapeno pepper
511,heavy cream
512,lemons zest of
513,cornmeal
514,nonstick cooking spray
515,zucchini
516,lean ground beef
517,dried oregano
518,dried basil
519,dried thyme
520,low fat cottage cheese
521,silken tofu
522,prepared mustard
523,apple cider vinegar
524,habaneros
525,canola oil
526,strawberry
527,blackberry
528,pastry for a double-crust 9-inch pie
